segment,step,year,lat_change,lon_change
1,59,2080,0.0004828824799432141,0.00015974033870236326
1,60,2081,0.00048275333875835713,0.00015977048091997403
1,61,2082,0.00048289403861900837,0.0001597722801989221
1,62,2083,0.0004828496068576271,0.00015979102415997204
1,63,2084,0.00048303027668694654,0.0001597893012927898
1,64,2085,0.0004831039619084265,0.000159771605879655
1,65,2086,0.000483170777965114,0.00015981591310776366
1,66,2087,0.0004831805932283828,0.00015978680728778727
1,67,2088,0.00048307502963851334,0.00015982110548407036
1,68,2089,0.0004830842122807155,0.00015989154140072515
1,69,2090,0.00048307962270754956,0.00015987852881949038
1,70,2091,0.0004831502051239056,0.00015983757496940143
1,71,2092,0.0004831902372757213,0.00015985071951263308
1,72,2093,0.00048330963508647073,0.00015983883338321903
1,73,2094,0.0004833059346864843,0.00015984008850011833
1,74,2095,0.0004833137841124824,0.0001598576174757227
1,75,2096,0.00048335236162344586,0.00015989837123697725
2,2,2023,0.0004727083613076388,0.00016031711058417386
2,3,2024,0.0004788590768320944,0.00015935960745139255
2,4,2025,0.0004800258310275751,0.00015918993727837005
2,5,2026,0.0004805529511173745,0.0001591468939494689
2,6,2027,0.00048049541170414045,0.00015915393360899088
2,7,2028,0.0004805983061331176,0.00015919638565264904
2,8,2029,0.00048058940869566413,0.00015921822684106246
2,9,2030,0.0004809749585952261,0.00015917122485120672
2,10,2031,0.0004809922439008574,0.00015923581688070954
2,11,2032,0.0004810388210358951,0.0001591806341281199
2,12,2033,0.00048106199549025064,0.00015921822340203562
2,13,2034,0.00048118661775120586,0.00015918967666550543
2,14,2035,0.0004815044284107728,0.00015925594358634498
2,15,2036,0.0004814537508934791,0.00015922616309183013
2,16,2037,0.0004814823480714381,0.00015925331804567122
2,17,2038,0.00048134754439033145,0.0001592278569262362
2,18,2039,0.0004813835321009208,0.00015929908597911435
2,19,2040,0.00048148318336060925,0.00015925464610688778
2,20,2041,0.0004815203484405117,0.000159319550121495
2,21,2042,0.0004815437594949401,0.00015930641603745244
2,22,2043,0.0004816294808769328,0.00015931735714502793
2,23,2044,0.00048153265269235135,0.00015930251416307328
2,24,2045,0.00048157978897123144,0.00015932358493842003
2,25,2046,0.00048168359351663526,0.0001593064156395485
2,26,2047,0.00048154620177598417,0.00015935400152500279
2,27,2048,0.00048164428002195336,0.00015937840973379025
2,28,2049,0.00048151355090197967,0.00015934834597430836
2,29,2050,0.0004817142361375204,0.00015934286075491855
2,30,2051,0.0004818179162455749,0.0001593788925760009
2,31,2052,0.0004818569312696752,0.0001594182104867059
2,32,2053,0.00048194781052401936,0.00015939934473863104
2,33,2054,0.0004818099968701972,0.00015943633479764685
2,34,2055,0.00048206657565685873,0.00015946660028021142
2,35,2056,0.00048210826231454007,0.0001594696316402633
2,36,2057,0.00048210512920476845,0.00015949423509198368
2,37,2058,0.0004820911259812988,0.0001594722017159711
2,38,2059,0.00048192623170706383,0.0001594624679057688
2,39,2060,0.0004821059489081847,0.00015952152614318038
2,40,2061,0.0004822859013309255,0.00015952496532634086
2,41,2062,0.00048214470484353456,0.00015951723625562408
2,42,2063,0.00048216937216594147,0.0001595674230259192
2,43,2064,0.0004822438464344714,0.00015955940482115238
2,44,2065,0.0004821785180659788,0.00015956598905120245
2,45,2066,0.000482272787806437,0.00015957906332175753
